ID,Rank (Temp),User,Rank,Score,SS,SSW,Place,Set Win Rate,Game Win Rate,Barnacle,Bluefin,Brinewater,Crableg,Eeltail,Flounder,Haggle,Hammerhead,Humpback,Inkblot,Lemuria,Mahi,Mako,Manta,Marlin,Mincemeat,Museum,Robo,Scorch,Shipshape,Sturgeon,Umami,Undertow,Urchin,Wahoo,Color,Color_Alt,Barnacle,Bluefin,Brinewater,Crableg,Eeltail,Flounder,Haggle,Hammerhead,Humpback,Inkblot,Lemuria,Mahi,Mako,Manta,Marlin,Mincemeat,Museum,Robo,Scorch,Shipshape,Sturgeon,Umami,Undertow,Urchin,Wahoo,Sets Played,Tourneys Played
166,15,ayden,15,67.92,75.698,75.698,100,100,91.67,100,---,100,100,---,---,100,---,---,100,---,---,100,---,---,---,---,100,---,---,---,50,100,---,---,9EE1F5,2AB3D6,1,0,1,1,0,0,2,0,0,1,0,0,2,0,0,0,0,1,0,0,0,2,1,0,0,4,1
117,17,Paper,17,65.837,74.20087,60.883,60.21238,53.85,46.34,33.33,---,100,100,---,---,33.33,---,---,50,---,50,33.33,---,---,---,100,66.67,---,33.33,---,75,0,---,---,9EE1F5,2AB3D6,6,0,1,2,0,0,6,0,0,4,0,4,3,0,0,0,1,3,0,3,0,4,4,0,0,13,3
161,18,splatkid9,18,65.703,80.75267,74.683,83.33,66.67,52.63,100,---,0,50,---,---,75,---,---,100,---,0,50,---,---,---,0,50,---,---,---,50,50,---,---,9EE1F5,2AB3D6,1,0,1,2,0,0,4,0,0,1,0,1,2,0,0,0,1,2,0,0,0,2,2,0,0,6,1
162,18,Neo,18,65.703,80.75267,74.683,83.33,66.67,52.63,100,---,0,50,---,---,75,---,---,100,---,0,50,---,---,---,0,50,---,---,---,50,50,---,---,9EE1F5,2AB3D6,1,0,1,2,0,0,4,0,0,1,0,1,2,0,0,0,1,2,0,0,0,2,2,0,0,6,1
74,20,nishi,20,65.015,63.45165,55.179,81.95429,77.78,62.07,0,---,---,0,---,---,100,---,---,50,---,66.67,0,---,---,---,50,100,---,100,---,100,100,---,75,9EE1F5,2AB3D6,2,0,0,1,0,0,4,0,0,4,0,3,3,0,0,0,2,1,0,2,0,1,2,0,4,9,2
85,21,Glash,21,64.855,60.68919,55.693,87.88,80,74.19,66.67,---,---,33.33,---,---,83.33,---,---,100,---,80,50,---,---,---,---,66.67,---,100,---,100,---,---,---,9EE1F5,2AB3D6,3,0,0,3,0,0,6,0,0,3,0,5,4,0,0,0,0,3,0,1,0,3,0,0,0,10,2
156,22,booga,22,63.942,87.6144,80.034,80,60,53.85,50,---,---,100,---,---,100,---,---,0,---,50,33.33,---,---,---,---,0,---,---,---,---,100,---,---,9EE1F5,2AB3D6,2,0,0,1,0,0,2,0,0,1,0,2,3,0,0,0,0,1,0,0,0,0,1,0,0,5,1
182,23,Megu,23,63.873,77.66533,67.577,75,66.67,56.52,66.67,---,100,0,---,---,60,---,---,---,---,66.67,---,---,---,---,100,25,---,50,---,0,100,---,---,9EE1F5,2AB3D6,3,0,2,1,0,0,5,0,0,0,0,3,0,0,0,0,1,4,0,2,0,1,1,0,0,6,1
183,23,Dynaman,23,63.873,77.66533,67.577,75,66.67,56.52,66.67,---,100,0,---,---,60,---,---,---,---,66.67,---,---,---,---,100,25,---,50,---,0,100,---,---,9EE1F5,2AB3D6,3,0,2,1,0,0,5,0,0,0,0,3,0,0,0,0,1,4,0,2,0,1,1,0,0,6,1
78,25,Cato Drew,25,63.612,71.14838,49.654,67.11563,55.56,52,75,---,---,37.5,---,---,50,---,---,50,---,33.33,60,---,---,---,---,25,---,83.33,---,66.67,0,33.33,---,9EE1F5,2AB3D6,4,0,0,8,0,0,4,0,0,4,0,3,10,0,0,0,0,4,0,6,0,3,1,3,0,18,4
138,26,Ballistic,26,62.794,81.1166,76.142,88.89,60,60,0,---,---,100,---,---,33.33,---,---,0,---,---,50,---,---,---,---,100,---,66.67,---,100,100,---,---,9EE1F5,2AB3D6,1,0,0,1,0,0,3,0,0,1,0,0,2,0,0,0,0,2,0,3,0,1,1,0,0,5,1
83,27,eliasmo,27,62.722,65.74511,58.787,90.91,72.73,64.71,33.33,---,---,33.33,---,---,75,---,---,100,---,100,40,---,---,---,---,33.33,---,100,---,75,---,---,---,9EE1F5,2AB3D6,3,0,0,3,0,0,8,0,0,2,0,5,5,0,0,0,0,3,0,1,0,4,0,0,0,11,2
29,28,Different,28,62.18,61.63446,51.967,58.16,68,62.9,57.14,---,---,60,---,---,57.14,---,50,87.5,---,88.89,66.67,---,---,---,100,40,---,60,---,50,0,---,0,9EE1F5,2AB3D6,7,0,0,5,0,0,7,0,2,8,0,9,3,0,0,0,1,5,0,5,0,8,1,0,1,25,5
153,29,Saxx,29,61.513,55.33,48.562,60,75,77.78,100,---,---,100,---,---,50,---,---,100,---,100,100,---,---,---,---,100,---,---,---,---,0,---,---,9EE1F5,2AB3D6,1,0,0,1,0,0,2,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,4,1
